manu_id,manu_sku,product_name,,prod_page_url
3,WTV-CB12,Cloud Bag Tag,,https://www.arielpremium.com/product/WTV-CB12
3,WTV-LG11,Lockwood Auto Open Golf Umbrella,,https://www.arielpremium.com/product/WTV-LG11
3,WBA-VT18,Valise Travel Attach,,https://www.arielpremium.com/product/WBA-VT18
3,ETA-UT18,Universal Traveler Charging Adapter,,https://www.arielpremium.com/product/ETA-UT18
3,WBA-TB10,Tradewinds Travel Toiletry Bag,,https://www.arielpremium.com/product/WBA-TB10
3,WBA-ET18,Explorer Essentials Toiletry & Cosmetics Travel Bag,,https://www.arielpremium.com/product/WBA-ET18
3,WTV-EZ12,E-Z See Jumbo Bag Tag,,https://www.arielpremium.com/product/WTV-EZ12
3,WPC-SA13,Stain-Away Pen,,https://www.arielpremium.com/product/WPC-SA13
3,WTV-TD18,Trek Digital Luggage Scale,,https://www.arielpremium.com/product/WTV-TD18
3,WPC-LR12,Roll & Rinse Lint Remover,,https://www.arielpremium.com/product/WPC-LR12
3,WPC-SC12,Quick Shine Shoe Care Kit,,https://www.arielpremium.com/product/WPC-SC12
3,WTV-AB12,Airplane Luggage Bag Tag,,https://www.arielpremium.com/product/WTV-AB12
3,WPC-FM18,Fresh Meadows Scented Diffuser,,https://www.arielpremium.com/product/WPC-FM18
3,WTV-SE18,Shut-Eye Travel Eye Mask,,https://www.arielpremium.com/product/WTV-SE18
3,WTV-SK08,Travel Sewing Kit,,https://www.arielpremium.com/product/WTV-SK08
3,WPC-PM10,Ultra Thin Pocket Mirror,,https://www.arielpremium.com/product/WPC-PM10
3,WTV-LP18,Loosen Up Neck & Back Pillow,,https://www.arielpremium.com/product/WTV-LP18
3,WTV-CN15,Car Neck Rest Pillow,,https://www.arielpremium.com/product/WTV-CN15
3,WBA-PT18,Pioneer Travel Wallet,,https://www.arielpremium.com/product/WBA-PT18
3,WTV-DS17,Durable Silicone Luggage Tag,,https://www.arielpremium.com/product/WTV-DS17
3,WHF-QC18,Eyeglasses & More Quick-Collapse Case,,https://www.arielpremium.com/product/WHF-QC18
3,WPC-CD12,Double Sided Compact Mirror,,https://www.arielpremium.com/product/WPC-CD12
3,WTV-TD10,Travel Disk Brush & Mirror,,https://www.arielpremium.com/product/WTV-TD10
3,WTV-SB12,Standard Luggage Bag Tag,,https://www.arielpremium.com/product/WTV-SB12
3,WTV-SB11,Spring Breeze Folding Umbrella,,https://www.arielpremium.com/product/WTV-SB11
3,WTV-TT10,Travel Tote Luggage Tag,,https://www.arielpremium.com/product/WTV-TT10
3,WPC-TN12,Touch-Up Shoe Shine Neutral Polish,,https://www.arielpremium.com/product/WPC-TN12
3,WPC-BB17,Fresh Flush Pretreat Potty Spray,,https://www.arielpremium.com/product/WPC-BB17
3,EPP-42C5,Power Cube 2 USB and 4AC Wall Charger,,https://www.arielpremium.com/product/EPP-42C5
3,WPC-SG17,"3-In-1 Shoe Gadget Shine, Brush & Horn",,https://www.arielpremium.com/product/WPC-SG17
3,WPC-AS18,Ambrosia Spray Air Freshener,,https://www.arielpremium.com/product/WPC-AS18
3,WEE-LB01,Lint Brush,,https://www.arielpremium.com/product/WEE-LB01
3,WTV-TP15,3-Piece Travel Pillow & Blanket Set,,https://www.arielpremium.com/product/WTV-TP15
3,WTV-LP10,Hideaway Luggage Tag And Pen,,https://www.arielpremium.com/product/WTV-LP10
3,WTV-WC10,Weigh Cool Portable Luggage Scale,,https://www.arielpremium.com/product/WTV-WC10
3,WPC-TB12,Touch-Up Shoe Shine Black Polish,,https://www.arielpremium.com/product/WPC-TB12
3,WPC-BC17,Fresh Flush Credit Card-Sized Pretreat Potty Spray,,https://www.arielpremium.com/product/WPC-BC17
3,ETA-12T5,Twist Traveler - 2 USB Port Universal Travel Adapt,,https://www.arielpremium.com/product/ETA-12T5
3,WBA-OP18,Outpost Travel Pouch,,https://www.arielpremium.com/product/WBA-OP18
3,WBA-ST11,Solelo Travel Drawstring Shoe Bag,,https://www.arielpremium.com/product/WBA-ST11
3,WBA-CV18,Caravan 5-in-1 Traveler Ensemble,,https://www.arielpremium.com/product/WBA-CV18
